Gene symbol,Category,Mouse ortholog,Zebrafish orthologs,D. melanogaster orthologs,C. elegans orthologs,Immunolocalisation evidence***,Antibodies,C. elegans protein tagging studies,BM Interactors,Cell surface Interactors,BM substrate,"Subcellular localization (UNIPROT, Human Protein Atlas)",Matrixome 
P3H1,Basement membrane,P3h1,p3h1,-, -,"PMID: 10455179 (R)
PMID: 17495866 (R)
PMID: 18487197 (M)
Matrixome Project (M)
Human Protein Atlas (H)","PMID: 10455179, polyclonal antiserum against leprecan Rb2096, in-house 
PMID: 17495866, polyclonal antiserum against leprecan Rb2096, in-house 
PMID: 18487197, Rabbit pAb ɑ-leprecan lp2 (MATRIXOME PJ)
Matrixome Project: rabbit polyclonal lp2 ɑ-leprecan antibody, in-house
HPA, rabbit ɑ-P3H1 pAb (Atlas Antibodies, HPA016980)", -,"COL12A1,COL14A1,COL15A1,COL17A1,COL18A1,COL28A1,COL2A1,COL4A1,COL4A2,COL4A3,COL4A4,COL4A5,COL4A6,COL5A1,COL6A1,COL6A2,COL6A3,COL7A1,COL8A1,COL8A2,COL9A1,COL9A2,COL9A3,P3H2,SERPINF1",COL13A1,-,"Extracellular matrix, Secreted, Endoplasmic reticulum",Yes
P3H2,Basement membrane,P3h2,p3h2,-, -,"PMID: 18487197 (M)
Human Protein Atlas (H)","PMID: 18487197, rabbit pAb against a mouse P3H2 peptide, in-house
HPA:  ɑ-P3H2, rabbit pAb (Atlas Antibodies, HPA007890)", -,"COL12A1,COL14A1,COL15A1,COL17A1,COL18A1,COL28A1,COL2A1,COL4A1,COL4A2,COL4A3,COL4A4,COL4A5,COL4A6,COL5A1,COL6A1,COL6A2,COL6A3,COL7A1,COL8A1,COL8A2,COL9A1,COL9A2,COL9A3,P3H1",COL13A1,-,"Endoplasmic reticulum, Golgi apparatus, Sarcoplasmic reticulum",No
PAPLN,Basement membrane,Papln,"paplna,paplnb",Ppn,mig-6,"PMID: 18757743 (M)
PMID: 3320045 (D)
PMID: 11076767 (D)
The Matrixome Project (M)
Human Protein Atlas (H)","PMID: 18757743, polyclonal antibody raised in rabbits, in-house (PMID: 18757743)
PMID: 3320045, rabbit antibody ɑ-papilin, in-house (PMID: 3320045) 
PMID: 11076767, rabbit antibody ɑ-papilin (PMID: 3320045)
The Matrixome Project, Rabbit ɑ-PAPLN pAb ppN (MATRIXOME PJ)
HPA, rabbit ɑ-PAPLN pAb (Atlas Antibodies, HPA048682)",MIG-6,SPARC,-,-,"Secreted, Intracellular",Yes
PODN,Basement membrane,Podn,podn,-,-,"PMID: 12796502 (M)
Matrixome Project (M)","PMID: 12796502, affinity purified ɑ-podocan polyclonal antibody, in-house 
Matrixome Project: rabbit pAb ɑ-podocan pd1",-,-,-,-,"Extracellular matrix, Secreted, Cytoplasm",Yes
POSTN,Basement membrane,Postn,"postn1a,postn1b",mfas,F26E4.7,"PMID: 22918213 (H)
PMID: 21051860 (M)
PMID: 17602244 (M)
PMID: 21490918 (H)","PMID: 22918213, polyclonal ɑ-periostin
PMID: 21051860, antibody against periostin (BioVender)
PMID: 17602244, ɑ-periostin (BioVender)
PMID: 21490918, rabbit ɑ-periostin antibody (YLEM)",F26E4.7,"BGN,COL12A1,COL6A3,DCN,FN1,LUM,MMP2,SPARC",-,-,"Extracellular matrix, Golgi apparatus, Secreted",No
PTN,Basement membrane,Ptn,ptn,-, -,"PMID: 9990431 (R)
PMID: 11546745 (M)","PMID: 9990431, polyclonal rabbit ɑ-PTN serum, in-house
PMID: 11546745, goat ɑ-pleiotrophin antibody (R&D systems)", -,-,SDC1,-,Secreted,No
PXDN,Basement membrane,Pxdn,pxdn,Pxn,"pxn-1,pxn-2","PMID: 27619726 (M)
Human Protein Atlas (H)","PMID: 27619726, rabbit ɑ-peroxidasin
HPA, rabbit ɑ-PXDN pAb (Atlas Antibodies, HPA012375)","PXN-1, PXN-2",-,-,-,"Extracellular matrix, Secreted, Intracellular",No
PXDNL,Basement membrane,-,-,-,"pxn-1,pxn-2",-,-,"PXN-1, PXN-2",-,-,-,"Cytoplasm, Secreted",No
RECK,Basement membrane,Reck,reck,Reck, -,Human Protein Atlas (H),"HPA, mouse α-RECK mAb (R&D Systems, MAB1734)", -,"MMP2,TIMP2,TIMP3",MMP14,-,"Cell membrane, Membrane",No
SERPINF1,Basement membrane,Serpinf1,serpinf1,-,srp-2,-,-,-,P3H1,-,-,"Secreted, Intracellular",No
SLIT1,Basement membrane,Slit1,"slit1a,slit1b",sli,slt-1,-,-,-,"COL4A5,NTN1,SLIT2,SLIT3","DCC,ROBO1,ROBO2,ROBO3,ROBO4",-,Secreted,No
SLIT2,Basement membrane,Slit2,slit2,sli,slt-1,"PMID: 24840330 (H)
PMID: 32999457 (M)","PMID: 24840330, slit 2 antibody (Abcam)
PMID: 32999457, rabbit ɑ-SLIT2 antibody (Proteintech, 20217-1-AP)",-,"NTN1,SLIT1,SLIT3","DAG1,DCC,GPC1,ROBO1,ROBO2,ROBO3,ROBO4",-,"Secreted, Intracellular, Membrane",No
SLIT3,Basement membrane,Slit3,slit3,sli,slt-1,-,-,-,"NTN1,SLIT1,SLIT2","DCC,ROBO1,ROBO2,ROBO3,ROBO4",-,"Secreted, Intracellular",No
SEMA3B,Basement membrane,Sema3b,sema3b,"Flies have five semaphorins: Sema1a, Sema1b, Sema2a, Sema2b and Sema5a","Worms have 3 semaphorin genes: smp-1,smp-2,mab-20",PMID: 32534052 (H),"PMID: 32534052, rabbit pAb ɑ-Sema3B (Abcam)",-,-,-,-,"Secreted, Endoplasmic reticulum",No
SMC3,Basement membrane,Smc3,smc3,SMC3,smc-3,"PMID: 9015313 (H)
PMID: 8631643 (H)
PMID: 11223336 (R)","PMID: 9015313, affinity-purified R664 polyclonal antibody against a bamacan fusion protein, in-house
PMID: 8631643, rabbit pAb ɑ-rat bamacan (cross reacts with human)
PMID: 11223336, monoclonal antibody which recognises core protein of bamacan",-,-,-,-,"Extracellular, Centromere, Chromosome, Nucleus",No
SMOC1,Basement membrane,Smoc1,smoc1,magu,smoc-1,"PMID: 12130637 (M)
PMID: 16736127 (M)
PMID: 27886258 (M)
The Matrixome Project (M)","PMID: 12130637, rabbit antiserum to SMOC1, in-house
PMID: 16736127, affinity-purified polyclonal antibody against SMOC-1
PMID: 27886258, ɑ-SMOC1 antibody (Abcam, ab155776)
The Matrixome Project, Rabbit pAb ɑ-SMOC1 sm1f (MATRIXOME PJ)",-,-,-,-,"Basement membrane, Extracellular matrix, Secreted",Yes
SMOC2,Basement membrane,Smoc2,smoc2,Magu,smoc-1,"PMID: 18582461 (M)
PMID: 18757743 (M)
The Matrixome Project (M)","PMID: 18582461, ɑ-serum against SMOC2, in-house
PMID: 18757743, MG1-G446 or M1-T284 ECM270/SMOC-2 pAb, in-house
The Matrixome Project, Rabbit pAb ɑ-ECM270/SMOC-2 270f (MATRIXOME PJ)",-,-,-,-,"Basement membrane, Extracellular matrix, Secreted, Intracellular",Yes
SPARC,Basement membrane,Sparc,"sparc,sparcl1,sparcl2",SPARC,ost-1,"PMID: 16972886 (H)
PMID: 22222271 (H)
PMID: 19285050 (R)
PMID: 17927980 (H)
PMID: 22382594 (H)","PMID: 16972886, monoclonal antibody against SPARC (Harmatological Technologies)
PMID: 22222271, goat polyclonal SPARC antibody (R&D sytems, AF941)
PMID: 19285050, mouse ɑ-SPARC (Cedarlane Laboratories Ltd, O8063)
PMID: 17927980, polyclonal rabbit Ab to BM40/SPARC
PMID: 22382594, ɑ-BM-40/SPARC ",OST-1,"BGN,COL2A1,COL4A1,COL4A2,COL5A1,COL6A1,DCN,FN1,HSPG2,ISLR,MMP2,NID1,PAPLN,POSTN,SPOCK1,SPOCK3,TGFB1,TGFB2,THBS1,TIMP1",-,-,"Basement membrane, Extracellular matrix, Secreted, Intracellular",No
SPARCL1,Basement membrane,Sparcl1,sparcl1,-,ost-1,"PMID: 31699966 (M)
Human Protein Atlas (H)","PMID: 31699966, SPARCL1 antibody (Bioss, bs-6110R)
HPA, goat ɑ-SPARCL1 msAb (R&D Systems, AF2728)",OST-1,"AMELX,AMTN,CST3,FBN1,FN1,LAMB1,LAMB2,LAMC1,SPOCK1,TIMP1,TNC,VCAN,VWA1","ADAM10,EVA1A,GPC3",-,"Extracellular matrix, Secreted, Intracellular",No
SPOCK1,Basement membrane,Spock1,spock1,Cow,test-1,Human Protein Atlas (H),"HPA, ɑ-SPOCK1, rabbit pAb (Atlas Antibodies, HPA007450)",TEST-1,"SPARC,SPARCL1",-,-,"Extracellular matrix, Secreted, Intracellular",No
SPOCK2,Basement membrane,Spock2,spock2,Cow,test-1,"PMID: 15657052 (M)
PMID: 21836138 (R)
PMID: 32958645 (H)
Human Protein Atlas (H)","PMID: 15657052, affinity purified antibody against mouse testican-2, in-house
PMID: 21836138, monoclonal mouse ɑ-human SPOCK2 antibody (Abnova)
PMID: 32958645, rabbit ɑ-testican-2 (Sigma)
HPA, ɑ-SPOCK2, rabbit pAb (Atlas Antibodies, HPA044605) ",TEST-1,-,-,-,"Extracellular matrix, Secreted",No
SPOCK3,Basement membrane,Spock3,spock3,Cow,test-1,-,-,TEST-1,"MMP2,SPARC,TIMP2",MMP14,-,"Extracellular matrix, Secreted, Intracellular",No
SPON1,Basement membrane,Spon1,"spon1a,spon1b",CG17739,spon-1,"PMID: 17875744 (C)
PMID: 10399931 (C)","PMID: 17875744, ɑ-F-spondin antibody R3 
PMID: 10399931, ɑ-F-spondin antibody, in-house",SPON-1,"ADAMTS1,ADAMTS10,ADAMTS13,ADAMTS14,ADAMTS15,ADAMTS16,ADAMTS17,ADAMTS18,ADAMTS19,ADAMTS2,ADAMTS20,ADAMTS3,ADAMTS4,ADAMTS5,ADAMTS6,ADAMTS7,ADAMTS8,ADAMTS9,SPON2,THBS1,THBS2",-,-,"Extracellular matrix, Secreted",No
SPON2,Basement membrane,Spon2,"spon2a,spon2b",mspo,spon-1,PMID: 29167507 (M),"PMID: 29167507, rabbit ɑ-mindin (Santa Cruz)",SPON-1,"ADAMTS1,ADAMTS10,ADAMTS13,ADAMTS14,ADAMTS15,ADAMTS16,ADAMTS17,ADAMTS18,ADAMTS19,ADAMTS2,ADAMTS20,ADAMTS3,ADAMTS4,ADAMTS5,ADAMTS6,ADAMTS7,ADAMTS8,ADAMTS9,SPON1,THBS1,THBS2","ITGAM,ITGB2",-,"Extracellular matrix, Secreted, Intracellular",No
TGFB2,Basement membrane,Tgfb2,tgfb2,-,"Worms have 5 TGFB-related genes: dbl-1,daf-7,unc-129,tig-2,tig-3",-,-,-,"BGN,DCN,FMOD,FN1,ISLR,LUM,SPARC,TGFB1,THBS1,TIMP1",-,-,"Extracellular matrix, Secreted",No
TGFB1 ,Basement membrane,Tgfb1,"tgfb1a,tgfb1b",daw,"Worms have 5 TGFB-related genes: dbl-1,daf-7,unc-129,tig-2,tig-3","PMID: 27725943 (R)
PMID: 12511232 (R)
Human Protein Atlas (H)","PMID: 27725943, TGFB1 antibody (no further information available)
PMID: 12511232, polyclonal rabbit ɑ-human TGFB1 (Santa Cruz)
HPA, mouse ɑ-TGFB1 mAb (Bio-Rad Antibodies, MCA797T)",-,"BGN,COL2A1,DCN,FBN1,FMOD,FN1,ISLR,LUM,MMP1,MMP2,SPARC,TGFB2,THBS1,TIMP1","GPC1,ITGA8,ITGAV,ITGB1,ITGB3,ITGB5,ITGB6,ITGB8,SDC1,SDC4",-,"Extracellular matrix, Secreted, Intracellular",No
TGFBI,Basement membrane,Tgfbi,tgfbi,mfas,F26E4.7,"Human Protein Atlas (H) 
The Matrixome Project (M)","HPA, ɑ-TGFBI, rabbit pAb (Atlas Antibodies, HPA008612)
The Matrixome Project, Rabbit pAb ɑ-βig-H3 bigf (MATRIXOME PJ)",F26E4.7,"FN1,HSPG2","ITGA3,ITGAM,ITGAV,ITGB1,ITGB2,ITGB3",-,"Extracellular matrix, Secreted, Amyloid, Intracellular",Yes
THBS1,Basement membrane,Thbs1,"thbs1a,thbs1b",Tsp,-,"PMID: 9211833 (H)
PMID: 12461058 (H)
PMID: 8567961 (H)","PMID: 9211833, monoclonal antibody to TSP1 B7 (Sigma)
PMID: 12461058, mouse monoclonal antibody clone A6.1 (Neomarkers, California, USA)
PMID: 8567961, affinity purified rabbit ɑ-TSP-1 and mouse ɑ-human TSP1 antibody (Boehringer Mannheim)",-,"ADAMTS1,ADAMTS10,ADAMTS13,ADAMTS14,ADAMTS15,ADAMTS16,ADAMTS17,ADAMTS18,ADAMTS19,ADAMTS2,ADAMTS20,ADAMTS3,ADAMTS4,ADAMTS5,ADAMTS6,ADAMTS7,ADAMTS8,ADAMTS9,COL18A1,COL7A1,DCN,FN1,ISLR,MMP2,SPARC,SPON1,SPON2,TGFB1,TGFB2,THBS2,TIMP1","ITGA1,ITGA2,ITGA2B,ITGA3,ITGA4,ITGA5,ITGA6,ITGA9,ITGAV,ITGB1,ITGB3,ITGB4,ITGB5,SDC1,SDC4",-,"Extracellular matrix, Secreted, Endoplasmic reticulum,  Sarcoplasmic reticulum",No
THBS2,Basement membrane,Thbs2,"thbs2a,thbs2b",Tsp,-,Human Protein Atlas (H),"HPA, Rabbit α-THBS2 msAb (Origene, 2442.00.02)",-,"ADAMTS1,ADAMTS10,ADAMTS13,ADAMTS14,ADAMTS15,ADAMTS16,ADAMTS17,ADAMTS18,ADAMTS19,ADAMTS2,ADAMTS20,ADAMTS3,ADAMTS4,ADAMTS5,ADAMTS6,ADAMTS7,ADAMTS8,ADAMTS9,LUM,MMP2,SPON1,SPON2,THBS1","ITGA1,ITGA2,ITGA3,ITGA4,ITGA5,ITGA6,ITGA7,ITGA8,ITGA9,ITGAV,ITGB1",-,"Basement membrane, Extracellular region, Secreted",No
THBS4,Basement membrane,Thbs4,"thbs4a,thbs4b",Tsp,-,"PMID: 14562182 (B)
PMID: 23942617 (H)
PMID: 17927980 (H)","PMID: 14562182, in-house rabbit pAb ɑ-human TSP-4 antibody 
PMID: 23942617, THBS4 antibody G10 (Santa Cruz)
PMID: 17927980, polyclonal rabbit thrombospodin-4 antibody",-,-,"ITGA1,ITGA2,ITGA9",-,"Extracellular matrix, Secreted, Endoplasmic reticulum, Sarcoplasmic reticulum",No
TIMP1,Basement membrane,Timp1,-,Timp,"timp-1,cri-2","PMID: 12950084 (M)
PMID: 12631350 (M)
PMID: 30965234 (M)","PMID: 12950084, polyclonal rabbit anti‐human TIMP‐1 antibody (Biogenesis, Poole, UK)
PMID: 12631350, rabbit antihuman TIMP-1
PMID: 30965234, ɑ-TIMP-1 monoclonal antibody (Abcam)","TIMP-1, CRI-2","AMELX,AMTN,CST3,FBN1,FN1,ISLR,LAMB1,LAMB2,LAMC1,MMP1,MMP17,MMP2,MMP7,SPARC,SPARCL1,TGFB1,TGFB2,THBS1,TNC,VCAN,VWA1","ADAM10,ADAM17,CD44,EVA1A,GPC3,MMP14",-,"Secreted, Intracellular",No
TIMP2,Basement membrane,Timp2,"timp2a,timp2b",Timp,"timp-1,cri-2","PMID: 12950084 (M)
PMID: 12631350 (M)
PMID: 11069613 (H)","PMID: 12950084, polyclonal rabbit anti‐human TIMP-2 (Chemicon)
PMID: 12631350, rabbit ɑ-human TIMP2
PMID: 11069613, monoclonal ɑ-human TIMP-2 MoAb 3310 (Chemicon International)","TIMP-1, CRI-2","CST3,CTSD,FN1,MMP1,MMP17,MMP2,MMP7,RECK,SPOCK3,TIMP3",MMP14,-,"Secreted, Intracellular",No
TIMP3,Basement membrane,Timp3,timp3,Timp,"timp-1,cri-2","PMID: 12950084 (M)
PMID: 12631350 (M)
PMID: 9006347 (H)","PMID: 12950084, polyclonal rabbit ɑ-human TIMP-3 antibody (Chemicon, Temecula, CA)
PMID: 12631350, rabbit antihuman TIMP-3 (Sigma Chemical Co)
PMID: 9006347, mouse MAb antibody to human TIMP-3, in-house","TIMP-1, CRI-2","ADAMTS3,ADAMTS4,ADAMTS5,ECM1,EFEMP1,MMP1,MMP2,MMP7,RECK,TIMP2","ADAM10,ADAM17,MMP14",-,"Extracellular matrix, Secreted",No
TINAG,Basement membrane,Tinag,-,TINAG,F26E4.3,"PMID: 9291180 (M)
PMID: 9643646 (H)
PMID: 20157734 (H)
PMID: 19297554 (R)
PMID: 1762287 (H)","PMID: 9291180, polyclonal goat ɑ-rabbit TIN-ag antibody, in-house
PMID: 9643646, mouse monoclonal A8 ɑ-TIN-ag 
PMID: 20157734, monoclonal TIN-ag antibody H79
PMID: 19297554, polyclonal ɑ-TINag antibody, in-house
PMID: 1762287, mouse monoclonal A8 ɑ-TIN-ag, in-house",F26E4.3,-,-,-,"Basement membrane, Extracellular matrix, Secreted, Intracellular",No
TINAGL1,Basement membrane,Tinagl1,tinagl1,Swim,F26E4.3,"PMID: 19776386 (M)
PMID: 24436468 (H)
PMID: 19587330 (M)","PMID: 19776386, rabbit polyclonal antibody to TINAGL1 (Santa Cruz)
PMID: 24436468, TINAGL1 antibody (Abcam, ab69036)
PMID: 19587330, rabbit polyclonal antibody against TINAGL1",F26E4.3,-,-,-,"Secreted, Intracellular",No
TLL1,Basement membrane,Tll1,tll1,tok,nas-39,-,-,NAS-39,"COL2A1,COL5A1,COL7A1,HSPG2,LOXL1,LOXL2,LOXL4",-,-,"Secreted, Intracellular",No
TNC,Basement membrane,Tnc,tnc,-,-,"PMID: 17927980 (H)
PMID: 18978301 (M)
PMID: 12209613 (H)
PMID: 31783297 (H)
PMID: 11755293 (H)
PMID: 9882526 (M)
PMID: 17962449 (H)
PMID: 22382594 (H)","PMID: 17927980, monoclonal antibodies to human tenascin-C, TN2 and 49 (Dako and Novocasta Laboratories)
PMID: 18978301, rabbit ɑ-human Tnc (Chemicon, Millipore)
PMID: 12209613, monoclonal mouse ɑ-human Tn-C antibody (Dako)
PMID: 31783297, rabbit mAb against TN-C (Abcam, AB108930)
PMID: 11755293, mAb to human tenascin (143DB7) 
PMID: 9882526, rat ɑ-mouse tenascin-C MTN 12 
PMID: 17962449, Mouse mAb ɑ-tenascin-C 
PMID: 22382594, ɑ-Tenascin C (Dako) ",-,"ACAN,AMELX,AMTN,BCAN,CST3,FBN1,FN1,LAMB1,LAMB2,LAMC1,SPARCL1,TIMP1,VCAN,VWA1","ADAM10,EVA1A,GPC3,ITGA2,ITGA5,ITGA7,ITGA8,ITGA9,ITGAV,ITGAX,ITGB1,ITGB3,ITGB6,SDC1,SDC4",-,"Extracellular matrix, Secreted, Intracellular",No
USH2A,Basement membrane,Ush2a,ush2a,-,-,"PMID: 11788194 (M)
PMID: 12433396 (H)","PMID: 11788194, in-house rabbit ɑ-usherin antibodies (PMID: 11788194)
PMID: 12433396, in-house rabbit ɑ-usherin antibodies (PMID: 11788194)",-,"LAMA3,LAMA5,LAMB1,LAMB2",-,-,"Secreted, Cell membrane, Cell projection, Membrane",No
VCAN,Basement membrane,Vcan,"vcana,vcanb",-,-,"PMID: 20459817 (H)
PMID: 23074202 (H)
PMID: 16622173 (H)
PMID: 17927980 (H)","PMID: 20459817, rabbit polyclonal antibody against versican (Santa Cruz Biotechnology)
PMID: 23074202, 12C5 and 2B1 monoclonal antibodies against N and C terminal of versican
PMID: 16622173, PG versican rabbit ɑ-human in-house (PMID: 8120102)
PMID: 17927980, MAb 12C5 against versican (Developmental Studies Hybridoma Bank)",-,"ADAMTS1,AGRN,AMELX,AMTN,BCAN,BGN,CST3,DCN,FBLN1,FBLN2,FBN1,FMOD,FN1,HSPG2,LAMB1,LAMB2,LAMC1,LUM,SPARCL1,TIMP1,TNC,VWA1","ADAM10,CD44,CSPG4,EVA1A,GPC1,GPC2,GPC3,GPC4,GPC5,GPC6,SDC1,SDC4",-,"Extracellular matrix, Secreted, Cell projection, Intracellular",No
VTN,Basement membrane,Vtn,"vtna,vtnb",-,-,"PMID: 24436468 (H)
PMID: 8322453 (H)
PMID: 17927980 (H)","PMID: 24436468, vitronectin antibody (Abcam, ab11591)
PMID: 8322453, monoclonal and polyclonal Ab against S-protein (vitronectin) (Chemicon)
PMID: 17927980, vitronectin antibody (Chemicon)",-,"EFEMP1,EFEMP2,FBLN1,FBLN2,FBLN5,FN1","ITGA1,ITGA2,ITGA2B,ITGA3,ITGA4,ITGA5,ITGA6,ITGA7,ITGA8,ITGA9,ITGAV,ITGB1,ITGB3,ITGB5,ITGB6,ITGB8,SDC1,SDC4",-,Secreted,No
VWA1,Basement membrane,Vwa1,vwa1,-,-,"PMID: 18314316 (M)
PMID: 26406320 (M)
The Matrixome Project (M)","PMID: 18314316, WARP sheep antibody (Institute for Medical and Veterinary Science (Adelaide, Australia))
PMID: 26406320, polyclonal goat antibody against WARP (R&D systems, AF4927)
The Matrixome Project, Rabbit pAb ɑ-ECM306/WARP 3062 (MATRIXOME PJ)",-,"AMELX,AMTN,CST3,FBN1,FN1,HSPG2,LAMB1,LAMB2,LAMC1,SPARCL1,TIMP1,TNC,VCAN","ADAM10,EVA1A,GPC3",-,"Basement membrane, Extracellular matrix, Secreted, Intracellular",Yes
VWA2,Basement membrane,Vwa2,vwa2,-,-,"PMID: 19651211 (M)
PMID: 29351342 (M)
PMID: 14506275 (M)
PMID: 24232570 (M)
Human Protein Atlas (H)","PMID: 19651211, rabbit AMACO-P3 antibody, in-house 
PMID: 29351342, guinea pig-mouse ɑ-P3 fragments of human and murine VWA2, in-house
PMID: 14506275, rabbit AMACO antibody, in-house
PMID: 24232570, rabbit ɑ-mouse AMACO-P3
HPA, Rabbit ɑ-vWA2 pAb (Atlas Antibodies, HPA037847)",-,FREM2,-,-,"Secreted, Intracellular",No
ADAM9,Cell surface interactor,Adam9,adam9,Meltrin,-,PMID: 31030477 (H),"PMID: 31030477,  α-ADAM9 pAb (Santa Cruz Biotechnology, sc-23290) (discontinued)",-,COL17A1,-,"ADAM10, FN1, laminin, collagen type XVII","Cell membrane, Membrane, Secreted",No
ADAM10,Cell surface interactor,Adam10,"adam10a,adam10b",kuz,sup-17,"PMID: 14734484 (H)
PMID: 18480749 (H)","PMID: 14734484,  α-ADAM10 pAb (Chemicon International, AB19026)
PMID: 18480749, α-ADAM10 mAb - clone 11G2 (Cell Sciences, CDM442A)",SUP-17,"AMELX,AMTN,COL17A1,CST3,FBN1,FN1,LAMB1,LAMB2,LAMC1,SPARCL1,TIMP1,TIMP3,TNC,VCAN,VWA1","ADAM17,EVA1A,GPC3,ITGAM,ITGAV,ITGAX,ITGB2","Collaggen types XVII and IV, ISLR, MEP1A, MEP1B, MMP17, SDC1","Membrane, Cell membrane, Cell junction, Cell projection, Cytoplasm, Cytoplasmic vesicle, Golgi apparatus",No
ADAM17,Cell surface interactor,Adam17,"adam17a,adam17b",Tace,adm-4,"PMID: 27737494 (Rb)
Human Protein Atlas (H)","PMID: 27737494, α-human ADAM17 mAb (R&D Systems, MAB9304)
HPA, Rabbit ɑ-ADAM17 pAb (Atlas Antibodies, HPA010738)",ADM-4,"COL17A1,TIMP1,TIMP3",ADAM10,"Collaggen XVII, DDR1, SDC1, SDC4","Membrane, Cytoplasm",No
CD44,Cell surface interactor,Cd44,"cd44a,cd44b",-, -,-,-, -,"ACAN,COL2A1,FN1,HSPG2,LAMC2,MMP2,MMP7,TIMP1,VCAN","ITGA4,ITGA6,ITGAM,ITGAX,ITGB1,MMP14,SDC1",-,"Cell membrane, Cell projection, Membrane, Intracellular",No
CD151,Cell surface interactor,Cd151,"cd151,cd151l",tsp74f,Worms have 21 tetraspanins (tsp-1 to 21),"PMID: 18787104 (M)
PMID: 23302890 (H)
PMID: 16410781 (M)
PMID: 22201679 (H)","PMID: 18787104, α-CD151 Rabbit ɑ-mouse  (LAI-2), in-house
PMID: 23302890, α-CD151 mAb - clone IIG5a (VWR, MA1-90964)
PMID: 16410781, α-human CD151 pAb (Santa Cruz, sc-18753)
PMID: 22201679, α-CD151 mAb - clone 11B1.G4, in-house",-,"COL17A1,LAMA3,LAMB3,LAMC2","ITGA3,ITGA6,ITGB4",-,Membrane,No
CSPG4,Cell surface interactor,Cspg4,cspg4,kon,C48E7.6,PMID: 24386429 (H),"PMID: 24386429, α-CSPG4 mAb - clone 2164H5, in-house",C48E7.6,"AGRN,BCAN,BGN,DCN,HSPG2,VCAN","GPC1,GPC2,GPC3,GPC4,GPC5,GPC6,ITGA3,ITGA4,ITGB1,SDC1,SDC4",-,"Cell membrane, Cell projection, Membrane",No
COL13A1,Cell surface interactor,Col13a1,col13a1,CG42342,col-99,"PMID: 11583983 (M) 
PMID: 20844119 (M)
PMID: 19074901 (M)
Human Protein Atlas (H)","PMID: 11583983, α-XIII/NC3 pAb, in-house
PMID: 20844119, α-XIII/NC3 pAb, in-house (PMID: 11583983)
PMID: 19074901, α- human XIII pAb, in-house (PMID: 9624150)
HPA, Rabbit ɑ-COL13A1 pAb (Atlas Antibodies, HPA050392)",COL-99,"COL12A1,COL14A1,COL15A1,COL17A1,COL18A1,COL28A1,COL2A1,COL4A1,COL4A2,COL4A3,COL4A4,COL4A5,COL4A6,COL5A1,COL6A1,COL6A2,COL6A3,COL7A1,COL8A1,COL8A2,COL9A1,COL9A2,COL9A3,P3H1,P3H2","ITGA1,ITGB1",-,"Cell junction, Cell membrane, Membrane, Postsynaptic cell membrane, Synapse",No
DAG1,Cell surface interactor,Dag1,dag1,dg,dgn-1,"PMID: 22961762 (M)
PMID: 31356769 (M)
PMID: 24559085 (H)
PMID: 22138543 (H)
PMID: 11798066 (M)
PMID: 21209007 (M)","PMID 22961762, α-43DAG mAb - clone 8D5 (Novocastra, NCL-b-DG)
PMID: 31356769, ɑ-α-dystroglycan mAb - clone IIH6 C4 (Dev. Studies Hybridoma Bank)
PMID: 24559085, ɑ-β-dystroglycan (Vector laboratory, VP-B205) (discontinued)
PMID: 22138543, ɑ-α-dystroglycan mAb - clone IIH6 (Millipore, 05-593)
PMID: 11798066, α-43DAG mAb (Novocastra, NCL-b-DG)
PMID: 21209007, ɑ-α-dystroglycan mAb - clone IIH6 (Millipore, 05-593); ɑ-β-DG - clone 7D11 (DSHB)",DGN-1,"AGRN,EGFLAM,HSPG2,LAMA1,LAMA2,LAMA3,LAMA4,LAMA5,LAMB1,LAMB2,LAMB3,LAMC1,LAMC2,LAMC3,SLIT2","ITGA1,ITGB1",-,"Cell junction, Cell membrane, Cytoplasm, Cytoskeleton, Membrane, Nucleus, Postsynaptic cell membrane, Secreted, Synapse",No
DCC,Cell surface interactor,Dcc,dcc,fra,unc-40,"PMID: 26732856 (M)
PMID: 32096760 (M)
Human Protein Atlas (H)","PMID: 26732856, rabbit ɑ-DCC, in-house 
PMID: 32096760, α-DCC pAb (Santa Cruz, sc-6535)
HPA, Rabbit ɑ-DCC pAb (Atlas Antibodies, HPA069552)",UNC-40,"NTN1,NTN4,SLIT1,SLIT2,SLIT3","ROBO1,UNC5A,UNC5B,UNC5C,UNC5D",-,"Membrane, Cytoplasm",No
DDR1,Cell surface interactor,Ddr1,ddr1,Ddr,ddr-1,"PMID: 15200417 (H)
PMID: 11488334 (H)
PMID: 26260163 (M)
PMID: 18026164 (M)
PMID: 32244515 (H)","PMID: 15200417, α-DDR1 pAb - clone (C-20) (Santa Cruz Biotechnology, sc-532)
PMID: 11488334, α-DDR1 pAb - clone (C-20) (Santa Cruz Biotechnology, sc-532)
PMID: 26260163, α-DDR1 pAb - clone (C-20) (Santa Cruz Biotechnology, sc-532)
PMID: 18026164, α-DDR1 pAb (C-20) and (N-13) (Santa Cruz Biotechnology, sc-532, sc-7553)
PMID: 32244515, α-DDR1 pAb - clone (C-20) (Santa Cruz Biotechnology, sc-532)","DDR-1, DDR-2",-,-,-,"Cell membrane, Membrane, Secreted",No
DDR2,Cell surface interactor,Ddr2,"ddr2a,ddr2b",Ddr,ddr-2,-,-,"DDR-1, DDR-2",COL5A1,-,-,"Cell membrane, Membrane, Intracellular",No
